Filename,Tokens,AWL,TTR,AMP,ANDC,[BEMA],[BYPA],CAUS,CONC,COND,CONJ,[CONT],DEMO,DEMP,DPAR,DWNT,EMPH,EX,FPP1,GER,HDG,INPR,JJ,NEMD,NN,NOMZ,OSUB,[PASS],[PASTP],[PEAS],PHC,PIN,[PIRE],PIT,PLACE,POMD,PRED,[PRESP],[PRIV],PRMD,[PROD],[PUBV],RB,[SERE],[SMP],[SPAU],[SPIN],SPP2,[STPR],[SUAV],SYNE,THAC,[THATD],THVC,TIME,TO,TOBJ,TPP3,TSUB,VBD,VPRT,[WHCL],[WHOBJ],[WHQU],[WHSUB],[WZPAST],[WZPRES],XX0,
SJU2,2751,4.13,175,0.58,0.44,3.60,0,0.47,0.15,0.40,0.15,5.13,1.82,1.42,0.22,0.11,1.42,0.44,3.82,0.47,0.25,0.15,5.63,0.18,13.81,1.49,0.22,0.65,0,0.18,0.22,6.00,0,3.16,0.22,0.84,1.56,0.04,3.82,0.40,0.29,0.87,4.98,0,0.15,0.25,0.07,2.76,0.04,0.18,0.07,0.22,1.56,0.51,0.15,2.07,0.29,2.76,0.11,1.09,11.60,0.11,0.04,0.07,0.15,0.04,0.11,2.73,
SJV7,10644,3.71,163,0.19,0.55,3.91,0,0.39,0.23,0.43,0.04,5.98,0.85,1.34,0.12,0.14,3.31,0.21,6.51,0.10,0.39,0.05,3.78,0.13,14.15,0.47,0.06,0.43,0.03,0.23,0.25,4.65,0.01,3.72,0.08,0.79,1.59,0.05,3.44,0.89,0.51,0.48,5.31,0.07,0.07,0.34,0.05,2.70,0.15,0.14,0.15,0.03,0.92,0.22,0.46,1.23,0.11,3.18,0.08,3.56,10.51,0.28,0.01,0.19,0.05,0.02,0.08,2.30,
SJW4,6791,3.66,171,0.27,1.00,3.34,0.03,0.21,0.09,0.40,0.01,5.89,0.77,1.40,0.47,0.24,1.65,0.35,4.79,0.22,0.21,0.06,3.73,0.24,19.60,0.72,0.07,0.37,0.01,0.25,0.21,5.49,0,3.64,0.32,0.74,1.07,0.13,2.47,0.85,0.37,0.49,4.99,0.13,0.04,0.24,0,3.25,0.19,0.16,0.07,0.01,0.85,0.16,0.44,1.13,0.06,2.93,0.09,3.89,9.97,0.13,0.03,0.03,0.16,0.01,0.01,1.96,
SJWU,5431,3.60,155,0.28,0.07,3.83,0,0.11,0.09,0.50,0.02,6.48,0.94,1.14,0.81,0.17,1.86,0.18,6.81,0.39,0.35,0.06,5.23,0.22,13.90,0.22,0.09,0.24,0.02,0.39,0.20,5.21,0.04,4.64,0.18,0.79,1.29,0.06,3.44,1.68,0.50,0.42,5.17,0.06,0,0.31,0,2.80,0.20,0.11,0.22,0.04,1.45,0.15,0.15,0.70,0.06,1.86,0.11,3.00,10.79,0.11,0,0.22,0.04,0,0.06,2.69,
SJXU,6776,3.58,145,0.21,0.30,3.73,0,0.15,0.19,0.49,0.09,6.66,1.17,1.17,0.44,0.12,1.52,0.53,6.60,0.09,0.41,0,3.32,0.27,14.85,0.22,0.10,0.56,0.01,0.18,0.32,5.22,0,4.38,0.03,0.83,1.14,0,3.16,0.86,0.40,0.21,4.32,0,0.01,0.34,0.01,2.88,0.34,0.10,0.13,0.04,1.18,0.21,0.21,1.25,0.06,2.57,0,3.75,10.51,0.10,0.03,0.15,0.06,0.01,0.12,2.46,
SK39,5871,3.72,155,0.36,0.95,3.27,0,0.44,0.09,0.27,0,4.99,1.16,0.95,0.44,0.31,2.06,0.34,4.96,0.26,0.22,0.05,3.36,0.03,17.58,0.43,0.05,0.56,0.03,0.37,0.43,6.00,0,2.35,0.22,0.55,1.16,0,3.49,0.58,0.20,0.37,5.64,0.09,0.10,0.19,0.05,2.64,0.03,0.15,0.07,0.03,1.19,0.07,0.53,1.16,0.05,4.72,0.09,4.94,9.45,0.17,0.02,0.15,0.17,0.05,0.14,2.62,
SK3B,18877,3.73,178,0.34,1.52,3.37,0.02,0.21,0.10,0.47,0.04,5.78,0.91,1.27,0.25,0.12,1.72,0.30,5.24,0.31,0.21,0.05,4.40,0.12,18.03,0.31,0.13,0.41,0.01,0.27,0.31,5.49,0,3.06,0.21,0.82,1.20,0.02,2.70,0.95,0.49,0.63,5.29,0.15,0.01,0.32,0.01,2.63,0.39,0.13,0.13,0.03,0.88,0.19,0.58,0.95,0.14,3.86,0.05,4.21,9.44,0.24,0.02,0.09,0.09,0.02,0.09,2.03,
SK3P,3547,3.67,164,0.45,0.85,3.50,0,0.85,0.14,0.28,0.03,4.06,0.73,0.87,0.48,0.08,1.66,0.31,4.34,0.14,0.14,0,3.83,0.23,17.48,0.14,0.17,0.45,0,0.31,0.45,4.71,0,2.82,0.20,0.76,0.87,0,2.71,0.79,0.20,0.56,5.41,0,0,0.37,0,2.45,0.08,0.08,0.06,0.08,0.79,0.14,0.37,1.95,0.06,4.17,0.03,4.74,8.06,0.23,0,0.11,0.25,0,0.11,2.37,
SK3S,2589,3.59,150,0.08,0.62,3.05,0,0.12,0.08,0.27,0,6.10,1.08,1.58,0.62,0.12,2.16,0.39,5.79,0.12,0.12,0.15,4.13,0,14.06,0.50,0.15,0.42,0.04,0.19,0.54,5.29,0.04,2.74,0.35,0.58,0.77,0.08,2.51,1.35,0.77,0.73,4.48,0.04,0,0.39,0,3.05,0.12,0.08,0.12,0,0.73,0.19,0.54,1.04,0.15,4.63,0.08,4.02,10.04,0.15,0,0.50,0,0,0.08,1.58,
SK7X,2755,3.64,148,0.07,0.54,4.10,0,0.44,0.04,0.36,0,7.01,1.42,1.56,0.73,0.07,1.67,0.47,4.65,0.18,0.25,0.04,4.72,0.11,14.08,0.11,0.04,0.47,0,0.18,0.58,5.15,0,4.10,0.15,0.44,1.23,0,2.87,1.05,0.80,0.33,4.83,0,0.07,0.36,0,1.89,0.47,0.04,0.07,0.07,0.98,0.15,0.40,1.89,0.07,4.86,0.07,3.41,11.07,0.04,0,0.22,0.11,0,0.04,2.21,
