"filename","cefr","Dep_Clauses_per_Clause","lexical_density_types","B1","wpm","B2"
"C1_porcupine_vs_lion","C1",0.2,0.683333333,9.69387755102041,123.157894736842,4.59183673469388
"C1_race","C1",0.282352941,0.730232558,1.74603174603175,72.4098671726755,1.74603174603175
"C1_real_junk_food","C1",0.453900709,0.765625,4.91452991452991,167.715133531157,1.81623931623932
"C1_renting_a_house","C1",0.418181818,0.769968051,3.84615384615385,187.816901408451,1.35746606334842
"C1_seven_tips_moving_abroad","C1",0.458064516,0.792134831,5.19385515727871,183.348214285714,1.82882223847842
"C1_shopping_great_part_1","C1",0.214285714,0.744588745,3.81818181818182,112.318339100346,2.18181818181818
"C1_shopping_great_part_2","C1",0.163265306,0.767741935,5.42005420054201,137.888198757764,0.813008130081301
"C1_sibling_rivalry","C1",0.2,0.709677419,1.33333333333333,23.265306122449,2.66666666666667
"C1_six_english_idioms_you_should_know","C1",0.481481481,0.772321429,5.26315789473684,176.181818181818,1.08359133126935
"C1_sleeping_for_exam_success","C1",0.467391304,0.760797342,6.40569395017794,159.493670886076,2.49110320284698
"C1_slow_motion_puff_adder_attack","C1",0.375,0.641975309,8.46153846153846,102.631578947368,1.53846153846154
"C1_speak_out_make_change","C1",0.471698113,0.696969697,5.0125313283208,183.206106870229,0.75187969924812
"C1_sport_great","C1",0.180327869,0.785714286,2.77777777777778,128.87323943662,2.94117647058824
"C1_stute","C1",0.3125,0.791338583,3.13351498637602,140.696202531646,0.681198910081744
"C1_tech_addiction","C1",0.43902439,0.790769231,7.41687979539642,147.648902821317,2.81329923273657
"C1_teens_going_veggie","C1",0.35483871,0.8125,4.8331415420023,188.201438848921,2.07134637514384
"C1_the_benefits_of_sport","C1",0.405660377,0.771863118,7.10955710955711,161.4375,1.04895104895105
"C1_the_fear_factor","C1",0.359649123,0.783861671,6.25662778366914,183.483870967742,1.90880169671262
"C1_the_helix","C1",0.27027027,0.808988764,8.98345153664303,130.259067357513,2.83687943262411
"C1_the_history_of_hand_gestures","C1",0.294117647,0.773722628,13.1399317406143,138.809523809524,3.24232081911263
"C1_until_my_hearts_finished","C1",0.351190476,0.814814815,3.83036935704514,145.170731707317,0.889192886456908
"C1_wacky_races_pantomime_horse","C1",0.216216216,0.720720721,2.98273155416013,118.88198757764,1.0989010989011
"C1_wars_silver_lining","C1",0.333333333,0.784232365,11.4624505928854,161.711229946524,4.34782608695652
"C1_what_i_learned_dropping_my_phone_down_toilet","C1",0.4921875,0.75,3.76016260162602,178.909090909091,1.52439024390244
"C1_what_makes_black_panther_so_special","C1",0.423529412,0.768456376,4.49704142011834,169,1.53846153846154
"C1_who_made_your_clothes","C1",0.45045045,0.763052209,5.81542351453856,152.516129032258,1.51706700379267
"C1_why_its_important_travel","C1",0.449275362,0.77826087,4.80769230769231,162.782608695652,1.28205128205128
"C1_why_ocean_salty","C1",0.357142857,0.601941748,9.29203539823009,177.631578947368,1.76991150442478
"C1_wizarding_world_harry_potter","C1",0.295454545,0.746411483,2.83018867924528,168.8,3.06603773584906
"C1_women_tech","C1",0.558823529,0.753768844,4.09982174688057,198,2.31729055258467
"C1_zombie_school_survival_guide","C1",0.205882353,0.685534591,4.92957746478873,72,4.22535211267606
"C1Adv_1_1","C1",0.444444444,0.699115044,5.44554455445545,198.688524590164,3.96039603960396
"C1Adv_1_2","C1",0.473684211,0.654545455,5.88235294117647,188.135593220339,1.60427807486631
"C1Adv_1_3","C1",0.25,0.672897196,4.3010752688172,188.135593220339,4.3010752688172
